12
      1|  78953643|     abd|      m|     99|     99|     99| 99.000|
      2|  63782370|      gy|      w|     99|     78|     84| 87.000|
      3|  06575678|    jack|      m|     67|     90|     98| 85.000|
      4|  34563456|      yz|      w|     67|     83|     95| 81.667|
      5|  08764302|      ry|      w|     76|     89|     67| 77.333|
      6|  01234543|      mn|      w|     67|     58|     97| 74.000|
      7|  06123423|     qwm|      m|      9|     99|     98| 68.667|
      8|  06123423|     qwm|      m|      9|     99|     98| 68.667|
      9|  12354678|      wz|      m|     45|     87|     56| 62.667|
     10|  07474567|      lf|      m|     45|     78|     56| 59.667|
     11|  07474567|      lf|      m|     45|     78|     56| 59.667|
     12|  00000023|      na|      m|     34|     54|     23| 37.000|
